Number,Name,Description,Price,Image Url
4,Honda Jazz,"2008 г., 1.3 л., вариатор хэтчбек 5 дв., бензин руль слева, 189 000 км","$ 9 500
                                                                                                                                         
                                                                                                                                                                                         834 860 сом",https://im.mashina.kg/tachka/images//5/4/f/54f781f20da945ba22b1c2aaf8e31526_240x180.jpg
4,Toyota RAV4,"2020 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 6 300 км","$ 32 500
                                                                                                                                         
                                                                                                                                                                                         2 856 100 сом",https://im.mashina.kg/tachka/images//9/5/4/954a0ee30dac55b088086b8611336ab0_240x180.jpg
4,Toyota Camry,"2016 г., 2.5 л., автомат седан, бензин руль слева, 180 000 км","$ 25 500
                                                                                                                                         
                                                                                                                                                                                         2 240 940 сом",https://im.mashina.kg/tachka/images//c/0/3/c0357c0ef48e16caba115d43f5cc4d5c_240x180.jpg
4,Mitsubishi Montero Sport,"2022 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 88 км","$ 45 500
                                                                                                                                         
                                                                                                                                                                                         3 998 540 сом",https://im.mashina.kg/tachka/images//1/a/1/1a1125ccf92c57572617d032e7eb5fad_240x180.jpg
4,Jetour X70S,"2022 г., 1.5 л., автомат внедорожник 5 дв., бензин руль слева, 1 км","$ 24 000
                                                                                                                                         
                                                                                                                                                                                         2 109 120 сом",https://im.mashina.kg/tachka/images//1/e/c/1ec23fd62415fa504d8484d8d7f566c2_240x180.jpg
4,Jetour Dashing,"2023 г., 1.6 л., робот внедорожник 5 дв., бензин руль слева, 1 км","$ 32 500
                                                                                                                                         
                                                                                                                                                                                         2 856 100 сом",https://im.mashina.kg/tachka/images//d/d/a/dda0f7cb316915c40b5bd0f90578cda6_240x180.jpg
4,Mitsubishi Outlander,"2022 г., 2 л., вариатор внедорожник 5 дв., бензин руль слева","$ 32 500
                                                                                                                                         
                                                                                                                                                                                         2 856 100 сом",https://im.mashina.kg/tachka/images//7/c/2/7c2b268496af180084858be1b3dad5f3_240x180.jpg
4,Hyundai Elantra,"2018 г., 2 л., автомат хэтчбек 5 дв., бензин руль слева, 25 000 км","$ 15 800
                                                                                                                                         
                                                                                                                                                                                         1 388 504 сом",https://im.mashina.kg/tachka/images//b/c/a/bca6a26928486ab4f1043433097b9398_240x180.jpg
4,Toyota Camry,"2014 г., 2.5 л., автомат седан, бензин руль слева, 50 000 км","$ 16 500
                                                                                                                                         
                                                                                                                                                                                         1 450 020 сом",https://im.mashina.kg/tachka/images//d/5/3/d533bb646f3eda6bb44b7ca8de4e1b16_240x180.jpg
4,Toyota Camry,"2018 г., 2.5 л., автомат седан, бензин руль слева, 151 000 км","$ 22 900
                                                                                                                                         
                                                                                                                                                                                         2 012 452 сом",https://im.mashina.kg/tachka/images//3/7/3/37358152e99de41dc31daa8e8b17614e_240x180.jpg
4,Kia Carnival,"2021 г., 2.2 л., автомат минивэн, дизель руль слева, 15 000 км","$ 48 500
                                                                                                                                         
                                                                                                                                                                                         4 262 180 сом",https://im.mashina.kg/tachka/images//7/9/1/7914b9c7cbb47074e9cf9a97ec14fa44_240x180.jpg
